sample	id
1	4a49f84b-5f56-47b8-a9bc-1a4f1646f7c2
2	b7c29caf-04e1-4a8b-a3d6-cf9becac5643
3	8ebf5458-b28d-4fbc-ac8f-7195c14df199
4	68852858-eeb5-4161-ae27-96f5fa3cfc75
5	0660d14f-93bd-456a-a915-821ac65de521
6	1060e278-5863-4333-9f4a-48c513219345
7	83fe6db0-a61a-442f-9b60-d03b6cc920f7
8	4f5b41b4-fb97-443f-a050-41ba0e74f91b
9	8a7eb973-4717-486e-90b0-bc75531d6ae9
10	d63845ba-59d1-4a72-ae53-c4c5dc1972bd
11	5cbff096-2b01-4c68-943e-32e0fa485237
12	0836a722-bfd8-445d-8b62-79ddb6b4f375
13	1df7f8b1-2cc2-4031-8a31-d41429e4a509
14	fcad486a-e639-4a29-b74d-5311918904e9
15	c2d6c09e-4533-4051-a4d4-29a76740840c
16	6fd1dbac-909f-408a-b88a-8cad7fc3c652
17	e8ffe7be-43dc-4e77-88b8-e89383bcefe2
18	8706490e-64f3-40e9-9435-faaa778dfcb9
19	d921a961-5e16-4e5d-ad53-0d0851107650
20	ba27a68a-b042-4887-925b-d73e430409b9
