sample	id	status
1	3461542772167072710	running
2	15343422923376780613	running
3	17900646892337053090	running
4	5302998955836445726	running
5	11033141700105106630	running
6	9426290641448425645	running
7	11173378296587410474	running
8	7474999098288840173	running
9	16748659854555530046	running
10	13800878319818961090	running
11	52674825279396578	running
12	4474672576768398102	running
13	12673008316774796954	running
14	6354462467443165495	running
15	13590739272937153285	running
16	573449673832605262	running
17	14543508478918006242	running
18	16212442753230528116	running
19	8539596348335845045	running
20	7043580117308465391	running
